idx,titletext,url
,Spike in pneumonia deaths in Florida shows an earlier arrival of coronavirus,https://www.sun-sentinel.com/coronavirus/fl-ne-coronavirus-florida-pneumonia-flu-deaths-spike-20200417-lkel6rlik5blhd5zdktkrxhzze-story.html
,Will you participate in the 2020 U.S. Census? Millions of dollars are at stake for South Florida,https://www.sun-sentinel.com/news/florida/fl-ne-census-hard-to-count-areas-20200122-rvju6fhtlbatlk7fzowppauox4-story.html#nt=outfit
,Voters beware: You have no idea who’s behind that petition they want you to sign,https://www.sun-sentinel.com/news/politics/fl-ne-petition-signature-gathering-industry-20191122-rofgdccdgvbmzpjqltfueobeza-story.html#nt=outfit
,How Hurricane Dorian earned a place among the most historic Atlantic storms,https://www.sun-sentinel.com/news/weather/hurricane/fl-ne-hurricane-dorian-storm-analysis-20190906-jgjb577qcbekfe4xasqeqlqrci-story.html#nt=outfit
,Hurricane season has begun. Here’s a look at Atlantic storms since the 1850s,https://www.sun-sentinel.com/news/weather/hurricane/fl-ne-atlantic-hurricane-history-20190607-4ze2j3tc45fotfx32s3ewr2wiu-story.html#nt=outfit
,A history of the weird and winding paths of hurricanes,https://www.sun-sentinel.com/news/weather/hurricane/fl-ne-top-weirdest-tropical-storms-20190709-s5xafchxvjccbh44rgpxrnqtue-story.html
,Arrests of undocumented immigrants rise in Florida amid Trump crackdown,http://www.sun-sentinel.com/news/florida/fl-reg-florida-immigrant-arrests-20171207-story.html
,Florida doubles number of doctors allowed to recommend marijuana to patients,http://www.sun-sentinel.com/news/florida/fl-pn-boca-medical-marijuana-20170607-story.html
,Indiana governor's race fueled by donors skirting set limits,http://www.southbendtribune.com/news/elections/indiana-governor-s-race-fueled-by-donors-skirting-set-limits/article_d0272e8d-53ca-5be2-abe1-5f174f9e6b06.html
